entity,code,year,deaths__sex_all__age_all__variant_estimates,births__sex_all__age_all__variant_estimates
Mexico,MEX,1990,510112,2436563
Mexico,MEX,1991,511996,2454813
Mexico,MEX,1992,512922,2469586
Mexico,MEX,1993,514896,2478574
Mexico,MEX,1994,516658,2476391
Mexico,MEX,1995,517478,2458900
Mexico,MEX,1996,519781,2442339
Mexico,MEX,1997,522832,2421231
Mexico,MEX,1998,528922,2400525
Mexico,MEX,1999,533455,2392938
Mexico,MEX,2000,540567,2385977
Mexico,MEX,2001,543803,2380261
Mexico,MEX,2002,553391,2374140
Mexico,MEX,2003,563140,2351177
Mexico,MEX,2004,575925,2335226
Mexico,MEX,2005,585859,2318498
Mexico,MEX,2006,597892,2303997
Mexico,MEX,2007,611318,2296268
Mexico,MEX,2008,627177,2297950
Mexico,MEX,2009,642292,2303532
Mexico,MEX,2010,651368,2310124
Mexico,MEX,2011,656666,2315793
Mexico,MEX,2012,662847,2319451
Mexico,MEX,2013,671786,2314458
Mexico,MEX,2014,683362,2270937
Mexico,MEX,2015,698389,2206765
Mexico,MEX,2016,717395,2162620
Mexico,MEX,2017,740091,2124252
Mexico,MEX,2018,756310,2122316
Mexico,MEX,2019,765037,2122565
Mexico,MEX,2020,1068730,2100438
Mexico,MEX,2021,1150760,2087487
Mexico,MEX,2022,838627,2063075
Mexico,MEX,2023,799360,2037689
